internal_id,author,birthYear,birthPlace
273,Nadine Trintignant,1934,Nice
274,Jean Desmarets de Saint-Sorlin,1595,Paris
275,Raoul de Caen,1080,Caen
276,Alain-René Lesage,1668,Sarzeau
277,Anna Laetitia Barbauld,1743,Kibworth Harcourt
278,Han Ryner,1861,Nemours
279,Alain Mabanckou,1966,Pointe-Noire
280,Catherine de Bourbon,1559,Paris
281,Christiane Taubira,1952,Cayenne
282,Marie-Thérèse Rodet Geoffrin,1695,Paris
283,Dương Thu Hương,1947,Thái Bình
284,Olivia Ruiz,1980,Carcassonne
285,Savitri Devi,1905,2e arrondissement de Lyon
286,Juliette Adam,1836,Verberie
287,Danielle Mitterrand,1924,Verdun
288,Susan George,1934,Akron
289,Gaston Bachelard,1884,Bar-sur-Aube
290,Marie de Clèves,1426,duché de Clèves
291,Isabelle Eberhardt,1877,Genève
292,Étienne Bonnot de Condillac,1714,Grenoble
293,Marlène Jobert,1940,Alger
294,Laure Junot d’Abrantès,1784,Montpellier
295,Eugène Viollet-le-Duc,1814,ancien 2e arrondissement de Paris
296,Benoîte Groult,1920,8e arrondissement de Paris
297,María Luisa Bombal,1909,Viña del Mar
298,María Luisa Bombal,1910,Viña del Mar
299,Sophie Gay,1776,Paris
300,James Baldwin,1924,Harlem
301,Dominique Manotti,1942,Paris
302,Valentine de Saint-Point,1875,2e arrondissement de Lyon
303,François de La Rochefoucauld,1613,Paris
304,Édika,1940,Héliopolis
305,Stéphane Hessel,1917,Berlin
306,Jacques Prévert,1900,Neuilly-sur-Seine
307,Carlo Goldoni,1707,Venise
308,Jean XXII,1244,Cahors
309,Oxmo Puccino,1974,Ségou
310,Pierre Dac,1893,Châlons-en-Champagne
311,Jean-Pierre Sinapi,1949,Cahors
312,Wladimir Jemeljanowitsch Maximow,1930,Moscou
313,Alexandre Guinzbourg,1936,Moscou
314,Jacques Rivette,1928,Rouen
315,Jérôme Lalande,1732,Bourg-en-Bresse
316,Irène Némirovsky,1903,Kiev
317,Jean-Marie Lustiger,1926,12e arrondissement de Paris
318,Alexandre Dumas fils,1824,ancien 2e arrondissement de Paris
319,Jean Dubuffet,1901,Le Havre
320,Robert Desnos,1900,11e arrondissement de Paris
321,Clément VI,1291,Rosiers-d'Égletons
322,Pierre Petit,1617,Paris
323,Georges Cuvier,1769,Montbéliard
324,Joseph Reinach,1856,Paris
325,Paul Frère,1917,Le Havre
326,Julio Cortázar,1914,Bruxelles
327,Sylvère Lotringer,1938,Paris
328,Jean de Tournes,1504,Noyon
329,Marc Levy,1961,Boulogne-Billancourt
330,Claude de Malleville,1597,Paris
331,Philippe Néricault Destouches,1680,Tours
332,Daniel Chamier,1565,Dauphiné
333,Jean-Marie Balestre,1921,Saint-Rémy-de-Provence
334,Jean Giono,1895,Manosque
335,Virginie Ancelot,1792,Dijon
336,Jean Anouilh,1910,Bordeaux
337,Bernard Ardura,1948,Bordeaux
338,Roland Barthes,1915,Cherbourg
339,Alfred de Musset,1810,Paris
340,Ismaïl Kadaré,1936,Gjirokastër
341,Atiq Rahimi,1962,Kaboul
342,Aristide Briand,1862,Nantes
